Source,Model,Year,@1s,@2s,@3s,@4s,@5s,ADE_1to5
ours,CV,2026,0.49794888496398926,1.2954728603363037,2.572038412094116,4.25864839553833,6.30281925201416,2.98538556098938
ours,Iter3A,2026,0.2948947250843048,0.5747697353363037,1.177793025970459,2.159961700439453,3.505629301071167,1.5426096975803376
ours,Iter3B,2026,0.2828453779220581,0.5315172672271729,1.0784960985183716,1.9903175830841064,3.2635562419891357,1.429346513748169
ours,Iter4,2026,0.2811327576637268,0.5231493711471558,1.053071141242981,1.9479782581329346,3.2007479667663574,1.4012158989906311
ours,K_PhysGAT,2026,0.26899582147598267,0.3356229066848755,0.5943662524223328,1.1288789510726929,1.985745906829834,0.8627219676971436
published,CV (Mercat),2019,0.73,,2.78,,5.42,2.5
published,V-LSTM,2018,0.68,,2.4,,4.69,2.16
published,S-LSTM,2018,0.65,,2.35,,4.55,2.1
published,CS-LSTM,2018,0.61,,2.14,,4.3,1.95
published,CS-LSTM(M),2018,0.62,,2.13,,4.32,1.96
published,GAIL-GRU,2018,0.69,,2.3,,4.69,2.1
published,GRIP,2019,0.64,,1.8,,3.8,1.71
published,GRIP++,2019,0.38,,1.62,,3.48,1.61
published,MATF,2019,0.66,,2.19,,4.27,2.0
published,GISNet,2020,0.33,,1.48,,2.95,1.4
published,AI-TP,2021,0.4,,1.58,,3.39,1.5
published,STA-LSTM,2021,0.37,,1.49,,3.27,1.45
published,MHA-LSTM,2021,0.41,,1.74,,3.83,1.93
published,CF-LSTM,2021,0.55,,1.78,,3.82,1.99
published,DeepTrack,2021,0.47,,1.71,,3.78,1.79
published,HierarchicalGNN,2021,0.34,,1.32,,2.83,1.3
published,TS-GAN,2022,0.6,,1.95,,3.72,2.06
published,STDAN,2022,0.42,,1.69,,3.67,1.87
published,WSiP,2023,0.56,,2.05,,4.34,2.25
published,FHIF,2023,0.4,,1.66,,3.63,1.84
published,DACR-AMTP,2023,0.57,,1.68,,3.4,1.85
published,TCN-SA,2023,0.56,,1.84,,3.94,1.95
published,BAT,2024,0.23,,1.54,,3.62,1.74
published,CDSTraj,2024,0.36,,1.36,,2.85,1.49
published,SAED,2024,,,,,,1.34
published,VT-Former,2024,,,,,,0.82
